sentiment,text
neutral,"That's right, #MemorialDayWeekend is here! It's time for #summervibes and concerts!

From @KeshaRose ? @Mackelmore… https://t.co/kCoyqJrYWd"
positive,"To extend the global appeal of ""Humble And Kind,"" GRAMMY-winning singer/songwriter @TheTimMcGraw, lifts the univers… https://t.co/Gx0yiVZHjC"
positive,"Music impacts people's lives, something @barbieariel from @iconforhire know first hand. 

? Learn about all of the… https://t.co/7ueZOhD8xo"
neutral,".@JLo is living it up right in the music video for her latest track ""#Dinero."" ? 

Kick-off your 3-day weekend by w… https://t.co/0qJn2qPItI"
neutral,That #FridayFeeling when you know it's #MemorialDayWeekend! ? ? #GRAMMYs https://t.co/SHoFufBXdm
neutral,"Shortly after the announcement of her headlining and curating gig at @AllThingsGo, @MaggieRogers has just dropped h… https://t.co/7iE4ANJ0GS"
negative,We do know that suicidal thoughts affect a wide range of people. Talking about depression and learning about the wa… https://t.co/fzaT9EKnIv
positive,There is certainly more to this story than meets the eye as practical integrations are key to making voice-navigati… https://t.co/o8QLw4IVRJ
neutral,@KenDilanianNBC @Zillablue @JohnJHarwood Ow
neutral,@KenDilanianNBC @Zillablue @JohnJHarwood Ro
positive,"Singer/songwriter @DevaMahal recalls gigging and writing with father, GRAMMY winner @tajmahalblues, her favorite ci… https://t.co/aqDqVyhcXz"
neutral,"We're hitting the road to explore emerging musical scenes and cultural movements told through the lens of artists,… https://t.co/tBGQ3uGtT4"
neutral,"The Queen of Salsa, #CeliaCruz may soon get her due on the small screen: film company @endemolshineus North America… https://t.co/gRF8kEgeGX"
neutral,We heard the single and now Christina Aguilera (@Xtina) and Demi Lovato (@ddlovato) have gifted us with the full mu… https://t.co/foIMo652ag
neutral,"Two months after being sidelined from performing by a health issue, @CelineDion returns to the stage in #LasVegas,… https://t.co/dtnnTd9zfr"
neutral,"It's been nearly 30 years since @Beck began his career journey, which has taken him from the anti-folk scene of… https://t.co/IX0L0sL5lp"
positive,"""I like to borrow a line from @Lin_Manuel and say that 'American history is like one long hip-hop song.'"" - Learn h… https://t.co/S6oKN7w1tH"
neutral,"With his third full-length album due out May 25, @ShawnMendes drops ""Nervous,"" a new soulful pop track, he wrote GR… https://t.co/7dnvDBkVNS"
neutral,"The initial six-part series Americana at the Ryman, will kick off on July 15 at @theryman Auditorium! You can expec… https://t.co/Z3sfqkGJzl"
positive,"""Almost a year ago, [we] dreamed of creating a more diverse #musicfestival culture that celebrates the artistry, in… https://t.co/L3McdWmCjr"
positive,"RT @GRAMMYMuseum: We're happy to announce our 2018 Jane Ortner Education Award recipient, Lois MacMillan! Learn how the Oregon-based teache…"
neutral,"While the album 'Sparrow' has a different feel from @AshleyMonroe's earlier work, it also feels undeniably authenti… https://t.co/sBj4rKjsIb"
positive,"RT @ellefsondavid: A fun day at The Grammy’s in LA today talking music, coffee and Musicares! @RecordingAcad #GRAMMYs @ellefsoncoffee #musi…"
neutral,#ICYMI ? The 19th @LatinGRAMMYs will be held Nov. 15 and broadcast live on @Univision from @MGMGrand in #LasVegas:… https://t.co/0k3pOJSLTU
neutral,Sony Corporation will acquire the stake in EMI Music Publishing currently held by Mubadala Investment Company with… https://t.co/aUeKUInArF
neutral,"Seven months was a long wait but at long last, @BobSeger has recovered sufficiently from the cervical laminectomy s… https://t.co/TXN61HeEYB"
positive,"Ahead of @gunsnroses massive 'Locked N' Loaded' box set, the band has given fans a taste of the buried treasure by… https://t.co/tmhJnhatU4"
neutral,"?Music has the power to speak and convey a message for those who need it the most. What song(s) speak to you? ??

?… https://t.co/TKV6SdF93X"
negative,"As this year's @EDC_LasVegas wraps up in Sin City, the festival looks back at the highlights and announce the dates… https://t.co/MEWmp8NDAJ"
positive,"RT @ashleymonroe: The least awkward way I could pose with a sign.

Loved talking with the @recordingacad. 
Full interview: https://t.co/x8E…"
positive,Did you know GRAMMY-winner @eltonofficial entertained wedding guests at a lunchtime reception following the nuptial… https://t.co/gIzNot83Of
positive,".@taylornation13's chart dominance is anything but ""Delicate."" Interestingly, however, it's that exact song that ha… https://t.co/gfKzlKVooJ"
positive,"Yes, we agree with GRAMMY winner @eltonofficial! ?What song(s) are on your playlist to break free? 

? Browse throu… https://t.co/R0FEdsBvR0"
positive,"Last week @SZA teased that a video for ""#Garden (Say It Like That)"" would be coming shortly. And now she's made goo… https://t.co/je4V0RJ4UI"
neutral,"In an era where artists are as liberated as ever to blend genres, there are few combinations left unexplored, a fac… https://t.co/NHL8mq8plQ"
positive,"GRAMMY winners @thebandGHOST released a new video, ""Dance Macabre,"" with cameos from @Metallica's Kirk Hammett,… https://t.co/P6S7G1vgBY"
positive,RT @GRAMMYMuseum: We're now LIVE on #Facebook with GRAMMY winner @NeYoCompound! Tune in: https://t.co/O4AGZLeHCG https://t.co/6yL5teY2Cr
positive,TUNE IN! We're 30 minutes away from the @GRAMMYMuseum's  #FacebookLive with three-time GRAMMY winner @NeYoCompound!… https://t.co/Cgb8qZx3sP
positive,RT @GRAMMYMuseum: Tonight three-time GRAMMY winner @NeYoCompound joins us for a conversation ahead of the release of his new album 'Good Ma…
neutral,"From genre-crossing mavericks to authentic songwriters and trendsetting artists, find out how the current… https://t.co/NFuO23Cguj"
neutral,"Clocking in at over 45 minutes with a six track-list, 'Band Of Gypsys' marked a departure from @JimiHendrix's tradi… https://t.co/La3zhQ4986"
neutral,".@IAmCardiB dropped a new video today for the third single from her debut album, 'Invasion Of Privacy.' 

Watch the… https://t.co/Ihb4CE0czw"
neutral,RT @LisaLoeb: It’s here! Our #GRAMMY for #FeelWhatUFeel arrived from @RecordingAcad! #unboxing https://t.co/HRNfUBCIVW https://t.co/3xPBbx0…
positive,.@GretaVanFleet have been described to the likes of @LedZeppelin. They've performed at @eltonofficial's #Oscars par… https://t.co/BLZ2q60erU
positive,"RT @GRAMMYAdvocacy: We're working to improve the lives of all music creators, and your support is critical. By telling #Congress to pass th…"
negative,"The stars were out last night in Sin City for this year's @BBMAs!
Hosted by @Kelly_Clarkson, the evening included m… https://t.co/xO21aIVCAC"
neutral,"This summer, 88 #highschool students will be immersed in the recording industry their sights are set on. See how th… https://t.co/YVYWZfHR7l"
neutral,"Things we learned about @KeithUrban on this week's episode of the @GRAMMYMuseum's #RequiredListening podcast:
1?. J… https://t.co/VgXF5Ee5YU"
positive,"RT if you agree with Demi Lovato (@ddlovato)!  ? ??? 

Follow @MusiCares and learn how music can help:… https://t.co/yFvcAWHYcv"
positive,"Hitting theaters on July 6, the documentary 'Whitney' pulls exclusive archival footage and interviews from… https://t.co/LdM98MyWuC"
negative,"Many arts programs nationwide depend on critical funding from the National Endowment For The Arts (@NEAarts). 

Lea… https://t.co/Ho54zE3OTX"
